"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"A1BG","1","9","18","20","5","23","3","4","9","2"
"A1BG-AS1","65","245","295","262","135","215","64","143","62","49"
"A1CF","0","2","1","1","1011","0","0","1","1","0"
"A2M","6016","4936","67479","5046","75120","61763","7221","14284","37092","25190"
"A2M-AS1","482","541","6648","369","3658","2476","474","948","2622","2716"
"A2ML1","2048","3954","0","461","6","5","114","333","3","3665"
"A2ML1-AS1","35","17","21","3","13","16","8","14","7","5"
"A2ML1-AS2","2","0","0","0","0","0","0","0","0","0"
"A2MP1","54","18","40","16","40","22","153","21","22","28"
"A3GALT2","1","5","1","3","0","0","1","2","3","1"
"A4GALT","120","957","443","4151","606","566","634","2793","131","2268"
"A4GNT","0","3","0","26","522","2","0","0","1","0"
"AAAS","1135","1102","1078","1209","1101","553","978","905","441","609"
"AACS","654","1182","1915","1432","1714","1624","681","332","520","1016"
"AACSP1","0","0","14","0","8","1","0","1","0","2"
"AADAC","133","7","57","33","894","37","908","96","28","115"
"AADACL2","68","4","0","14","2","3","14","7","1","1"
"AADACL2-AS1","3","0","1","6","10","1","37","7","0","4"
"AADACL3","0","3","0","0","0","0","0","2","0","0"
"AADACL4","0","0","0","0","0","7","0","0","0","0"
"AADACP1","62","18","9","140","276","4","278","10","4","22"
"AADAT","223","205","137","149","139","210","80","18","72","54"
"AAED1","46","855","919","167","357","366","456","297","278","279"
"AAGAB","1059","2477","2115","936","2170","976","1992","672","953","1211"
"AAK1","1161","1003","1349","1217","1585","1685","2674","2078","887","514"
"AAMDC","193","202","482","183","446","246","169","133","150","149"
"AAMP","3349","4105","5882","3924","4100","4458","4568","1632","1702","2228"
"AANAT","2","7","9","24","0","3","3","13","8","1"
"AAR2","1040","1358","2395","1201","1620","854","1169","567","704","909"
"AARD","19","34","139","0","36","52","27","9","6","36"
"AARS","3918","6302","5874","4943","4984","5538","7051","4337","2278","2393"
"AARS2","1039","490","568","638","673","404","288","771","295","216"
"AARSD1","28","26","15","29","6","6","11","22","18","0"
"AARSP1","0","0","0","0","0","0","0","0","0","0"
"AASDH","560","557","452","268","501","246","293","119","204","203"
