"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"A2M",26191.1952146612,19545.1280233017,80005.4731861377,21014.9278940257,125455.107553033,124356.591709993,21915.0945757296,56587.6214543647,100676.910684717,75650.4719046669
"A4GALT",511.584606578423,680.625836503128,522.758584515314,1214.75635468509,551.838743693339,608.751755138112,611.78932526088,1259.14814579948,513.678382425615,1078.29466411295
"AAAS",1848.9152987177,1875.88567072276,1813.94899727999,1860.6512320454,1827.70519247437,1806.87475812081,1847.66870827417,1892.30246768746,1802.79403642848,1828.26208655239
"AACS",1086.68771708126,1125.5034486951,1143.38353871032,1179.95273827314,1159.59453113074,1206.06029301451,1032.19770719176,953.396613326218,1069.17290002353,1197.08015139123
"AAGAB",1425.22564408875,1493.67448230355,1432.70946808875,1408.4316866769,1458.61741389493,1417.31038272335,1461.31944487207,1402.30666291316,1441.11099242116,1480.45061783546
"AAK1",1263.23007114861,1184.35584522467,1168.15252747821,1236.12844810471,1184.24716001129,1382.10755476936,1461.39352846258,1578.66660965508,1255.91605862974,1151.34348383424
"AAMDC",148.690408711897,139.135342235873,146.559614852524,143.656050703164,156.034141831511,151.951427932101,138.641126539635,141.7456370446,141.020047106466,143.205007042599
"AAMP",4085.77632996339,4075.78531645654,4069.67103725478,4099.63382783674,4031.1375729638,4123.87345263112,4074.39921161366,3981.30203140835,3992.9143902512,4062.5178348561
"AAR2",1253.8457059863,1253.31081765694,1273.99625253439,1260.88957076034,1256.32805881832,1237.47921772634,1241.15524215176,1216.51802993775,1237.92279925426,1273.73007235099
"AARS",6336.18632335173,6397.9272662129,6060.05955291244,6520.17634362912,6220.26178826372,6575.71605102641,6387.34076278843,6655.69574142142,6098.30334204156,6092.43859977549
"AASDHPPT",1281.43945709125,1349.9327822839,1364.55549877585,1306.77288134777,1230.2054557875,1292.11104161524,1263.47707468561,1290.55728992676,1294.54411159105,1284.31371355992
"AASS",511.699809794357,487.548369851088,496.118007372191,516.014528301446,504.705439052814,497.994647082314,508.782246731931,574.495638151122,603.147189900747,532.605201340185
"AATK",927.252187377238,919.604491530918,876.038288079894,1332.73943318491,1280.0000768107,1091.44102648855,907.883962034271,914.32594639814,1043.98130702408,881.065968525012
"ABAT",1099.31438513504,946.743628883921,1058.9688150875,774.472214009601,1937.96851397591,2028.93244738325,753.969293155393,803.630104083878,1035.70800119526,1582.86725347438
"ABCA1",1692.98416660499,1940.31921697734,1774.76125429439,2242.48050062074,2065.81130536083,2158.77114197257,2031.84700268714,2008.47988210241,2029.93846147173,1682.544548637
"ABCA2",7650.01294511522,7505.61076072703,9854.26093291024,11370.0893731311,10398.5315444827,10012.2694409887,7614.7261905985,9984.18446991251,10209.673859296,6814.60198789652
"ABCA3",2404.94720410694,1396.29415097381,3793.49645900782,2205.06895280083,5242.74952443855,3766.89701466008,1894.74256693836,2171.39302274568,3911.44339440464,4309.39387839008
"ABCA5",1743.79874294684,1472.07379096487,1270.09915192462,1651.70454128178,1902.0134903638,1228.39606739324,1370.38812344214,1546.4100367329,1375.59654955066,1343.47158979733
"ABCA6",397.172972520153,398.213707998652,402.762696315975,397.640441682355,412.782874003507,402.379168442484,400.581942617064,403.033726408173,404.266298858003,408.68644497291
"ABCA7",1755.20155140896,1270.54595629047,1355.10563955561,1956.32347166764,2274.35656675562,1286.18553861106,1441.68440630283,1821.26383812704,2323.42565948407,1646.80458542937
"ABCB1",230.091967459013,181.562759534502,184.39882315215,213.066403502646,182.374722324829,187.310098777871,204.485899711714,181.486177251006,178.37366914026,227.685054537002
"ABCB6",118.211062206875,118.347430550548,116.737286967716,119.144101208684,117.700661098691,116.604919216453,118.206955481371,118.192079032944,118.28313907703,115.728378227827
"ABCB7",789.492551940777,694.709625755477,770.91700852885,800.232135790987,766.523534851337,778.968766858912,783.348096821503,728.119286254781,783.30857729686,764.487977222437
"ABCB8",1646.54806677403,1605.09727199093,1755.1126333814,1709.09193519237,1660.73381928188,1675.08666395884,1694.37166534212,1654.66867257788,1620.83702969019,1717.32047701357
"ABCB9",640.290482377067,680.122613744109,669.756434200143,660.214277406926,636.961139125008,589.465524949259,662.848422042697,607.627898233912,596.460448188865,649.986718886484
"ABCC1",2163.19823850391,2107.164787677,1927.06104212087,3525.58285291492,2176.42259820966,2116.06253314065,2711.99943289636,2622.27864425363,1997.26304654735,2108.60091234329
